according to the article they create a lot of greenhouse gases	Meat industry produces greenhouse gases and/or uses water - general
according to the report  just raising the animals creates one-fifth of greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
according to this source-free paragraph it creates nearly 1/5 of all supposedly harmful greenhouse gases.	Meat industry produces greenhouse gases and/or uses water - specific numbers
according to what I just read meat production and transporting it creates almost one-fifth of greenhouse gases and also almost half the water used in the USA goes to raising livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
1/5 of our greenhouse gases are caused my the meat industry.	Meat industry produces greenhouse gases and/or uses water - specific numbers
1/5 of the earth's greenhouse gases are from meat transportation, and half of all water used in US goes to raising livestock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
20% of greenhouse gases are due to meat production and almost half of the water used in the United States is for meat.	Meat industry produces greenhouse gases and/or uses water - specific numbers
a fifth of the greenhouse gases are created in the process of raising and transporting animals.	Meat industry produces greenhouse gases and/or uses water - specific numbers
a large portion of greenhouse gasses are caused by raising and transporting meat.	Meat industry produces greenhouse gases and/or uses water - general
a lot of our natural resources are going into raising livestock.	Meat industry produces greenhouse gases and/or uses water - general
almost half of resources are used for livestock.	Meat industry produces greenhouse gases and/or uses water - general
almost one fifth of the earth's greenhouse gasses are produced by meat transportation.	Meat industry produces greenhouse gases and/or uses water - specific numbers
almost one fifth of the world's greenhouse gases are created by raising animals and transporting meat.	Meat industry produces greenhouse gases and/or uses water - specific numbers
almost one-fifth of greenhouse gases are generated from raising live stock and half the water consumed in US is used for raising the live stock.	Meat industry produces greenhouse gases and/or uses water - specific numbers
almost one-fifth of the earth's greenhouse gases are produced by raising animals.	Meat industry produces greenhouse gases and/or uses water - specific numbers
animals are dying.	Outside of article's scope
animals are grown in cafos not small farme where poop becomes veggies	Outside of article's scope
animals are the cause of 1/5 of the greenhouse gases caused.	Meat industry produces greenhouse gases and/or uses water - specific numbers
greenhouse gases are produced.	Meat industry produces greenhouse gases and/or uses water - general
large amounts of greenhouse gasses are generated as a result of meat production.	Meat industry produces greenhouse gases and/or uses water - general
large amounts of resources are needed to raise and transport the livestock, and these activities contribute to greenhouse gas emissions.	Meat industry produces greenhouse gases and/or uses water - general
many greenhouse gasses are emitted in the raising and transporting of livestock for the meat market.	Meat industry produces greenhouse gases and/or uses water - general
more domestic animals that are suppose to complete the Eco circle are killed every day.	Outside of article's scope
most of our water sources are used for the animals we are raising for meat.	Meat industry produces greenhouse gases and/or uses water - general
natural resources are used raising and transporting products.	Meat industry produces greenhouse gases and/or uses water - general
of all the greenhouse gases that are released during transport of meat.	Because as preposition
