Error type,Precision,Recall,F0.5-score,Support
,0.0,0.0,0.0,3001
Articles,0.7846153846153846,1.0,0.819935691318328,51
Capitalization,0.8928571428571429,1.0,0.9124087591240876,50
Commas after yes & no,1.0,0.9,0.9782608695652175,50
Commas in numbers,0.7424242424242424,0.98,0.7802547770700637,50
Contractions,0.8367346938775511,0.82,0.8333333333333333,50
Incorrect irregular past tense,0.4444444444444444,0.76,0.4846938775510204,100
Irregular plural nouns,0.49230769230769234,0.64,0.5161290322580646,100
Man versus men,0.9259259259259259,1.0,0.9398496240601505,50
Object pronouns,0.7578125,0.97,0.7924836601307189,100
Passive perfect with incorrect participle,0.9080459770114943,0.79,0.8816964285714285,100
Passive perfect without have,0.0,0.0,0.0,100
Passive with incorrect be,0.35797665369649806,0.92,0.40780141843971635,100
Passive with incorrect participle,0.78,0.78,0.78,100
Passive with simple past instead of participle,0.4840764331210191,0.76,0.521978021978022,100
Passive without be,0.1425339366515837,0.63,0.16862955032119914,100
Past instead of participle,0.4939759036144578,0.82,0.5366492146596858,100
Perfect progressive with incorrect be and without have,0.8137254901960784,0.83,0.8169291338582676,100
Perfect progressive without have,1.0,0.99,0.997983870967742,100
Perfect with incorrect participle,0.7368421052631579,0.7,0.7291666666666665,100
Perfect without have,0.20833333333333334,0.7,0.24238227146814403,100
Plural versus possessive nouns,0.4339622641509434,0.69,0.46875000000000006,100
Possessive pronouns,0.84,0.42,0.7,100
Punctuation,0.5102040816326531,1.0,0.5656108597285068,50
Question marks,0.4107142857142857,0.92,0.46184738955823285,50
Repeated word,0.8064516129032258,1.0,0.8389261744966443,25
Simple past instead of past perfect,0.11861313868613138,0.65,0.14179755671902267,100
Singular and plural nouns,0.7265625,0.93,0.7598039215686274,100
Spacing,0.8695652173913043,0.8,0.8547008547008546,25
Subject pronouns,0.55,0.99,0.603658536585366,100
Subject_verb agreement with collective noun,0.5470085470085471,0.64,0.5633802816901408,100
Subject_verb agreement with indefinite pronoun,0.7413793103448276,0.86,0.7624113475177304,100
Subject_verb agreement with inversion,0.8607594936708861,0.68,0.8173076923076923,100
Subject_verb agreement with personal pronoun,0.332,0.83,0.3772727272727273,100
Subject_verb agreement with simple noun,0.32673267326732675,0.66,0.36343612334801767,100
Than versus then,1.0,0.97,0.9938524590163934,100
Woman versus women,0.8928571428571429,1.0,0.9124087591240876,50
